name,version,license,repository,package
="@babel/runtime",="7.22.11",="MIT",="https://github.com/babel/babel.git",ui
="@sentry-internal/tracing",="7.66.0",="MIT",="git://github.com/getsentry/sentry-javascript.git",ui
="@sentry/browser",="7.66.0",="MIT",="git://github.com/getsentry/sentry-javascript.git",ui
="@sentry/core",="7.66.0",="MIT",="git://github.com/getsentry/sentry-javascript.git",ui
="@sentry/replay",="7.66.0",="MIT",="git+https://github.com/getsentry/sentry-javascript.git",ui
="@sentry/utils",="7.66.0",="MIT",="git://github.com/getsentry/sentry-javascript.git",ui
="clsx",="1.2.1",="MIT",="lukeed/clsx",ui
="credit-card-type",="9.1.0",="MIT",="git@github.com:braintree/credit-card-type",ui
="css-loader",="5.2.7",="MIT",="webpack-contrib/css-loader",ui
="date-fns",="2.30.0",="MIT",="https://github.com/date-fns/date-fns",ui
="dijkstrajs",="1.0.3",="MIT",="git://github.com/tcort/dijkstrajs",ui
="encode-utf8",="1.0.3",="MIT",="LinusU/encode-utf8",ui
="events",="3.3.0",="MIT",="git://github.com/Gozala/events.git",ui
="history",="4.10.1",="MIT",="ReactTraining/history",ui
="hoist-non-react-statics",="3.3.2",="BSD-3-Clause",="git://github.com/mridgway/hoist-non-react-statics.git",ui
="html-loader",="4.2.0",="MIT",="webpack-contrib/html-loader",ui
="isarray",="0.0.1",="MIT",="git://github.com/juliangruber/isarray.git",ui
="jspdf",="1.5.3",="MIT",="https://github.com/MrRio/jsPDF.git",ui
="lodash",="4.17.21",="MIT",="lodash/lodash",ui
="memoize-one",="5.2.1",="MIT",="https://github.com/alexreardon/memoize-one.git",ui
="path-to-regexp",="1.8.0",="MIT",="https://github.com/pillarjs/path-to-regexp.git",ui
="platform",="1.3.6",="MIT",="bestiejs/platform.js",ui
="prop-types",="15.8.1",="MIT",="facebook/prop-types",ui
="property-expr",="2.0.5",="MIT",="https://github.com/jquense/expr/",ui
="qr-scanner",="1.4.2",="MIT",="git+https://github.com/nimiq/qr-scanner.git",ui
="qrcode",="1.5.3",="MIT",="git://github.com/soldair/node-qrcode.git",ui
="react",="18.2.0",="MIT",="https://github.com/facebook/react.git",ui
="react-dom",="18.2.0",="MIT",="https://github.com/facebook/react.git",ui
="react-is",="16.13.1",="MIT",="https://github.com/facebook/react.git",ui
="react-router",="5.3.4",="MIT",="https://github.com/remix-run/react-router.git",ui
="react-router-dom",="5.3.4",="MIT",="https://github.com/remix-run/react-router.git",ui
="react-string-replace",="1.1.1",="MIT",="iansinnott/react-string-replace",ui
="react-toastify",="9.1.1",="MIT",="git+https://github.com/fkhadra/react-toastify.git",ui
="react-virtualized-auto-sizer",="1.0.7",="MIT",="https://github.com/bvaughn/react-virtualized-auto-sizer.git",ui
="react-window",="1.8.8",="MIT",="https://github.com/bvaughn/react-window.git",ui
="react-window-infinite-loader",="1.0.8",="MIT",="https://github.com/bvaughn/react-window-infinite-loader.git",ui
="resolve-pathname",="3.0.0",="MIT",="mjackson/resolve-pathname",ui
="save-as",="0.1.8",="MIT",="git+https://github.com/cchamberlain/save-as.git",ui
="scheduler",="0.23.0",="MIT",="https://github.com/facebook/react.git",ui
="tiny-case",="1.0.3",="MIT",="https://github.com/jquense/tiny-case.git",ui
="tiny-invariant",="1.3.1",="MIT",="https://github.com/alexreardon/tiny-invariant.git",ui
="toposort",="2.0.2",="MIT",="https://github.com/marcelklehr/toposort.git",ui
="ua-parser-js",="1.0.35",="MIT",="https://github.com/faisalman/ua-parser-js.git",ui
="urijs",="1.19.11",="MIT",="https://github.com/medialize/URI.js.git",ui
="value-equal",="1.0.1",="MIT",="mjackson/value-equal",ui
="yup",="1.2.0",="MIT",="git+https://github.com/jquense/yup.git",ui
